District Name,County Name (District),District Type (District),Census Day Enrollment (District),English Learners % (District),Free/Reduced Meals % (District),Ethnic Diversity Index (District),Cohort Graduates % (District),Grads Mtg UC/CSU % (District),Grads Mtg UC/CSU # (District),ACT Test Takers # (District),Per Pupil Ratio: Teacher (District),Avg Years Teaching (District),Teacher Salary-Avg (District),Chronic Absenteeism % (District),CAASPP-Math Standard Exceeded or Met (Levels 3 and 4) (District),CAASPP-ELA Standard Exceeded or Met (Levels 3 and 4) (District),Current Exp of Educ per ADA (Ed Code 41372) (District),Gen Fund Exp by Object Code - 4000-4999 Books & Supplies Per Student (District),Total Gen Fund Revenues Per Student (District),Gen Fund Exp by Activity - 4000-4999 Ancillary Services Per Student # (District),Gen Fund Exp by Activity - 1000-1999 Instruction Per Student # (District),Gen Fund Exp by Activity - 5000-5999 Community Services Per Student # (District),Gen Fund Exp by Activity - 7000-7999 General Administration Per Student # (District),Gen Fund Exp by Activity - 3000-3999 Pupil Services Per Student # (District)
Imperial Unified (Imperial),Imperial,Unified School District,3711,22.5,46.4,23,96.63,25.5,54,0,24.1,10,72629,N/A,N/A,N/A,7114,370,7242,81,4641,0,417,691
Alvord Unified (Riverside),Riverside,Unified School District,19634,41.3,77.5,24,80.17,25.4,335,0,26.2,12,75323,N/A,N/A,N/A,7422,276,7691,35,4993,0,372,498
Fontana Unified (San Bernardino),San Bernardino,Unified School District,40374,34.1,82.8,16,86.44,25.3,744,0,24.3,13,71919,N/A,N/A,N/A,7893,255,7924,1,5154,13,331,502
Calaveras Unified (Calaveras),Calaveras,Unified School District,3188,1.3,50.6,24,91.32,25,62,0,21.3,14,63290,N/A,N/A,N/A,7671,429,7972,63,5083,14,492,731
Cotati-Rohnert Park Unified (Sonoma),Sonoma,Unified School District,5855,19,45.8,45,83.66,25,100,0,22.4,13,57533,N/A,N/A,N/A,8105,266,8385,55,5878,6,426,434
Fillmore Unified (Ventura),Ventura,Unified School District,3812,34.5,77.8,11,87.22,24.7,70,0,24.6,13,63232,N/A,N/A,N/A,7393,306,7864,46,4626,94,613,552
Kerman Unified (Fresno),Fresno,Unified School District,4799,29.9,82.8,20,87.18,24.4,67,0,25.6,10,59486,N/A,N/A,N/A,6990,500,7487,111,4340,0,482,579
Windsor Unified (Sonoma),Sonoma,Unified School District,5617,21,37.5,41,89.29,24.4,114,0,21.6,11,59740,N/A,N/A,N/A,7974,259,8155,59,5440,17,318,1026
Eureka City Schools (Humboldt),Humboldt,Unified School District,3669,13.8,59.3,48,89.11,24.1,80,0,20.8,15,60860,N/A,N/A,N/A,8657,419,9494,73,5019,191,817,1055
Plumas Unified (Plumas),Plumas,Unified School District,2125,3.3,53.7,26,92.31,24.1,39,0,18.8,11,56749,N/A,N/A,N/A,11590,633,12490,165,5912,57,1150,1761
San Jacinto Unified (Riverside),Riverside,Unified School District,10041,19.6,76.7,35,81.64,24,128,0,25.6,9,68868,N/A,N/A,N/A,7530,362,7748,0,4948,0,532,527
Marysville Joint Unified (Yuba),Yuba,Unified School District,9815,22.2,70.3,52,79.72,23.7,148,0,23.4,12,63507,N/A,N/A,N/A,8287,550,8655,28,5128,0,506,959
Morongo Unified (San Bernardino),San Bernardino,Unified School District,8905,4.4,66.9,43,85.63,23.6,126,0,22.7,12,66460,N/A,N/A,N/A,8694,367,8859,33,5305,16,501,907
Coalinga-Huron Unified (Fresno),Fresno,Unified School District,4322,44.2,85.3,18,70.98,23.5,44,0,22.4,12,64151,N/A,N/A,N/A,8582,431,8603,57,4975,0,564,726
El Tejon Unified (Kern),Kern,Unified School District,919,13.6,53.1,35,84.44,23.5,19,0,26,14,N/A,N/A,N/A,N/A,8518,534,11021,516,4886,465,876,1034
Lucerne Valley Unified (San Bernardino),San Bernardino,Unified School District,2668,2.2,47.9,40,68.42,23.5,19,0,23.6,6,58764,N/A,N/A,N/A,9503,579,11377,24,5585,0,1097,743
Soledad Unified (Monterey),Monterey,Unified School District,4708,44,91.3,6,83.99,23.5,64,0,23.9,9,63059,N/A,N/A,N/A,8218,305,8775,31,5497,0,466,796
Amador County Unified (Amador),Amador,Unified School District,3884,1.7,42.1,30,86.18,22.9,67,0,25.3,13,61123,N/A,N/A,N/A,6880,345,7163,104,3980,4,594,580
Calexico Unified (Imperial),Imperial,Unified School District,9203,66.1,79.1,1,75.41,22.7,136,0,26,13,66057,N/A,N/A,N/A,8067,545,8510,107,5009,0,561,557
Needles Unified (San Bernardino),San Bernardino,Unified School District,862,0.7,67.9,47,74.68,22.6,14,0,24.8,15,67539,N/A,N/A,N/A,10508,1363,10826,28,6316,0,1142,815
Dos Palos Oro Loma Joint Unified (Merced),Merced,Unified School District,2265,27.6,88.3,26,87.5,22.4,32,0,27.1,15,62638,N/A,N/A,N/A,6679,423,8325,87,4224,0,490,664
Mariposa County Unified (Mariposa),Mariposa,Unified School District,1843,2.9,53,29,90.34,21.6,30,0,20.4,14,59899,N/A,N/A,N/A,9687,723,10758,119,5731,13,706,1381
Hemet Unified (Riverside),Riverside,Unified School District,21689,13.4,76.8,45,79,21.5,323,0,24.4,11,68193,N/A,N/A,N/A,7988,435,8819,103,5051,3,513,1052
Black Oak Mine Unified (El Dorado),El Dorado,Unified School District,1422,0.5,46.3,13,91.55,21.3,27,0,21.6,13,60172,N/A,N/A,N/A,9202,440,9210,146,5004,0,612,1262
Gustine Unified (Merced),Merced,Unified School District,1759,34.5,80.8,24,91.3,21.3,23,0,25.3,13,62999,N/A,N/A,N/A,7686,440,7857,56,4892,0,681,626
Butte Valley Unified (Siskiyou),Siskiyou,Unified School District,324,21.5,66.4,39,94.44,redacted,redacted,0,14.4,10,50465,N/A,N/A,N/A,12655,827,11337,460,6515,0,1039,950
Paradise Unified (Butte),Butte,Unified School District,4282,1.1,63.5,24,85.26,21.1,65,0,21.9,13,58306,N/A,N/A,N/A,8416,297,8575,95,5757,0,506,857
