District Name,County Name (District),District Type (District),Census Day Enrollment (District),English Learners % (District),Free/Reduced Meals % (District),Ethnic Diversity Index (District),Cohort Graduates % (District),Grads Mtg UC/CSU % (District),Grads Mtg UC/CSU # (District),ACT Test Takers # (District),Per Pupil Ratio: Teacher (District),Avg Years Teaching (District),Teacher Salary-Avg (District),Chronic Absenteeism % (District),CAASPP-ELA Standard Exceeded or Met (Levels 3 and 4) (District),CAASPP-Math Standard Exceeded or Met (Levels 3 and 4) (District),Current Exp of Educ per ADA (Ed Code 41372) (District),Gen Fund Exp by Object Code - 4000-4999 Books & Supplies Per Student (District),Total Gen Fund Revenues Per Student (District),Gen Fund Exp by Activity - 4000-4999 Ancillary Services Per Student # (District),Gen Fund Exp by Activity - 1000-1999 Instruction Per Student # (District),Gen Fund Exp by Activity - 5000-5999 Community Services Per Student # (District),Gen Fund Exp by Activity - 7000-7999 General Administration Per Student # (District),Gen Fund Exp by Activity - 3000-3999 Pupil Services Per Student # (District)
Fontana Unified (San Bernardino),San Bernardino,Unified School District,40841,35.3,79,18,81.22,17.5,457,0,24.9,12,68510,N/A,N/A,N/A,7443,199,8121,1,4868,20,322,547
Ramona City Unified (San Diego),San Diego,Unified School District,6247,14.6,32.5,34,87.78,17.2,86,0,24.7,13,69063,N/A,N/A,N/A,8327,278,8528,0,5351,60,639,791
Sierra Sands Unified (Kern),Kern,Unified School District,5232,8.2,42.4,38,92.35,16.9,63,0,23.7,13,59838,N/A,N/A,N/A,7920,524,8767,55,5164,2,491,631
Chawanakee Unified (Madera),Madera,Unified School District,929,0.4,40.9,33,68.57,redacted,redacted,0,19.3,10,N/A,N/A,N/A,N/A,9054,501,10047,0,5069,0,1054,808
Mountain Valley Unified (Trinity),Trinity,Unified School District,370,1.6,76.8,33,88,redacted,redacted,0,14.2,10,48215,N/A,N/A,N/A,13783,769,14760,459,7771,0,1138,1160
Pittsburg Unified (Contra Costa),Contra Costa,Unified School District,9973,33.1,80.1,44,65.95,16.7,80,0,22.1,9,58153,N/A,N/A,N/A,8150,451,8995,27,5352,2,645,497
Barstow Unified (San Bernardino),San Bernardino,Unified School District,6155,14.3,70.3,50,65.34,16.6,56,0,23.9,12,59325,N/A,N/A,N/A,8111,414,8446,0,4987,0,529,717
Waterford Unified (Stanislaus),Stanislaus,Unified School District,3875,12.7,62.8,43,85.8,16.6,56,0,24,8,64645,N/A,N/A,N/A,8535,577,10466,103,6043,339,641,649
Rialto Unified (San Bernardino),San Bernardino,Unified School District,27026,28.2,83.2,24,77.97,15.8,287,0,25.3,12,71602,N/A,N/A,N/A,8339,352,8301,0,5010,1,568,634
Esparto Unified (Yolo),Yolo,Unified School District,1084,26.6,63.2,35,84.69,15.6,14,0,23.1,10,59400,N/A,N/A,N/A,8588,349,9271,33,4963,7,1096,755
Gateway Unified (Shasta),Shasta,Unified School District,3922,1.8,59.4,30,87.3,15.5,41,0,20.5,11,59182,N/A,N/A,N/A,9179,770,10601,144,6742,0,583,907
Modoc Joint Unified (Modoc),Modoc,Unified School District,859,5.5,55.9,31,89.39,redacted,redacted,0,18.7,12,50790,N/A,N/A,N/A,9206,545,11012,145,5331,0,969,570
Shandon Joint Unified (San Luis Obispo),San Luis Obispo,Unified School District,310,32.9,72.3,30,90.48,redacted,redacted,0,0,N/A,60433,N/A,N/A,N/A,11011,463,12288,48,6716,0,1264,954
Konocti Unified (Lake),Lake,Unified School District,3091,16.3,73.8,45,74.18,14.9,26,0,22.1,11,51045,N/A,N/A,N/A,8946,570,9576,47,5585,2,479,1069
Kelseyville Unified (Lake),Lake,Unified School District,1719,Not Certified,81.6,39,88.8,14.5,17,0,21.8,16,56733,N/A,N/A,N/A,8050,492,8857,95,4936,0,629,998
Golden Plains Unified (Fresno),Fresno,Unified School District,1908,63.9,98.7,3,71.52,14.4,15,0,20.2,12,N/A,N/A,N/A,N/A,10262,1221,10820,9,6067,0,1593,725
Morgan Hill Unified (Santa Clara),Santa Clara,Unified School District,9532,22.6,33.9,46,79.68,13.2,73,0,25,11,64962,N/A,N/A,N/A,7271,327,7860,57,4813,2,403,604
Eureka City Schools (Humboldt),Humboldt,Unified School District,3884,12.5,61.4,42,87.34,13,43,0,22.3,15,N/A,N/A,N/A,N/A,8290,439,9597,60,4954,178,787,992
Anderson Valley Unified (Mendocino),Mendocino,Unified School District,540,Not Certified,83,25,63.04,redacted,redacted,0,15.3,15,52193,N/A,N/A,N/A,11341,571,11909,124,6714,176,880,844
Stony Creek Joint Unified (Glenn),Glenn,Unified School District,111,1.8,81.1,43,70,redacted,redacted,0,12.3,10,56247,N/A,N/A,N/A,18370,1161,17911,564,9630,2,2253,1929
Mountain Empire Unified (San Diego),San Diego,Unified School District,2757,Not Certified,49.5,46,60.31,12.4,18,0,19.1,7,54789,N/A,N/A,N/A,10042,782,10694,218,6161,0,675,1076
Fall River Joint Unified (Shasta),Shasta,Unified School District,1150,5.9,55.3,36,84.62,redacted,redacted,0,17,12,51165,N/A,N/A,N/A,11091,894,11068,59,6405,0,830,1114
Benicia Unified (Solano),Solano,Unified School District,4976,3.2,20.3,52,92.67,8.7,34,0,23,15,65745,N/A,N/A,N/A,6712,184,7276,26,4608,0,492,350
Round Valley Unified (Mendocino),Mendocino,Unified School District,391,6.4,96.9,33,52.17,redacted,redacted,0,13.8,7,52440,N/A,N/A,N/A,20567,1370,20887,536,11456,0,2902,1977
Lone Pine Unified (Inyo),Inyo,Unified School District,400,Not Certified,63.8,49,90,redacted,redacted,0,16.5,11,63535,N/A,N/A,N/A,15125,763,19969,75,9527,43,1569,939
Compton Unified (Los Angeles),Los Angeles,Unified School District,24221,Not Certified,84.3,19,56.96,5.9,57,0,21.6,0,N/A,N/A,N/A,N/A,9901,785,10017,27,6325,0,935,753
Princeton Joint Unified (Glenn),Glenn,Unified School District,224,17,71.9,40,90,redacted,redacted,0,15.8,11,N/A,N/A,N/A,N/A,10131,710,11417,126,5540,0,1290,984
Westwood Unified (Lassen),Lassen,Unified School District,634,1.3,21.5,21,100,redacted,redacted,0,19.3,6,51481,N/A,N/A,N/A,11006,366,14177,139,6019,0,1571,153
Center Joint Unified (Sacramento),Sacramento,Unified School District,5081,11.8,55,53,80.23,redacted,redacted,0,21.6,14,68094,N/A,N/A,N/A,7753,158,7857,46,5114,0,425,475
Willows Unified (Glenn),Glenn,Unified School District,1558,19.9,61.2,44,80.65,redacted,redacted,0,25.2,14,72518,N/A,N/A,N/A,7330,207,8434,0,4418,0,855,457
Big Sur Unified (Monterey),Monterey,Unified School District,60,Not Certified,0,18,100,redacted,redacted,0,8.6,6,N/A,N/A,N/A,N/A,50715,2602,51386,0,27056,0,5717,2298
Borrego Springs Unified (San Diego),San Diego,Unified School District,561,Not Certified,76.6,31,72.73,redacted,redacted,0,15.2,6,56426,N/A,N/A,N/A,14621,651,12257,62,9204,0,1540,1474
Fillmore Unified (Ventura),Ventura,Unified School District,3776,35.7,76.6,13,90.11,redacted,redacted,0,22.3,12,62225,N/A,N/A,N/A,7767,316,8320,52,4964,91,613,578
Geyserville Unified (Sonoma),Sonoma,Unified School District,247,47.8,63.6,35,60,redacted,redacted,0,12,14,N/A,N/A,N/A,N/A,12200,465,12865,108,7620,0,1058,728
Gustine Unified (Merced),Merced,Unified School District,1751,Not Certified,77.3,26,92.41,redacted,redacted,0,22.5,12,59577,N/A,N/A,N/A,7208,438,8073,57,4686,0,564,483
Kings Canyon Joint Unified (Fresno),Fresno,Unified School District,9765,37,68.4,16,87.88,redacted,redacted,0,21.5,13,63382,N/A,N/A,N/A,8450,472,9138,156,4793,36,407,1021
Klamath-Trinity Joint Unified (Humboldt),Humboldt,Unified School District,1033,0.2,73,20,77.42,redacted,redacted,0,15.7,10,56749,N/A,N/A,N/A,15695,1157,17065,220,8718,0,1251,2159
Los Molinos Unified (Tehama),Tehama,Unified School District,564,11.2,75.9,37,84.78,redacted,redacted,0,19.9,11,54369,N/A,N/A,N/A,9511,653,9590,199,5605,2,891,931
Maricopa Unified (Kern),Kern,Unified School District,768,Not Certified,72.5,30,73.91,redacted,redacted,0,22.5,3,N/A,N/A,N/A,N/A,10778,545,13237,36,6627,54,1486,1024
Mattole Unified (Humboldt),Humboldt,Unified School District,956,Not Certified,84.5,28,74.77,redacted,redacted,0,17.8,7,45723,N/A,N/A,N/A,22643,1075,28782,8,14030,401,3088,1509
Owens Valley Unified (Inyo),Inyo,Unified School District,38,Not Certified,73.7,52,100,redacted,redacted,0,5.8,16,72085,N/A,N/A,N/A,34663,1444,35624,0,19348,364,5012,2348
San Marino Unified (Los Angeles),Los Angeles,Unified School District,3198,4.1,2.5,43,98.34,redacted,redacted,0,24.1,13,70574,N/A,N/A,N/A,8603,303,11896,134,5102,49,1107,499
Trona Joint Unified (San Bernardino),San Bernardino,Unified School District,304,0.3,68.1,46,83.33,redacted,redacted,0,14.7,14,66940,N/A,N/A,N/A,15888,1080,16358,11,10676,200,1133,1204
Alpine County Unified (Alpine),Alpine,Unified School District,88,0,54.5,39,0,N/A,N/A,0,6.7,8,N/A,N/A,N/A,N/A,33740,1675,35897,6,13427,0,6640,3553
Desert Center Unified (Riverside),Riverside,Unified School District,18,Not Certified,0,36,N/A,N/A,N/A,0,9,5,N/A,N/A,N/A,N/A,35127,3551,33734,0,15124,0,4287,6591
Leggett Valley Unified (Mendocino),Mendocino,Unified School District,111,0,49.5,21,100,N/A,N/A,0,8.2,11,47659,N/A,N/A,N/A,22211,1078,24310,200,12329,0,2476,3073
,,,,,,,,,,,,,,,,,,,,,,,,
