District Name,County Name (District),District Type (District),Census Day Enrollment (District),English Learners % (District),Free/Reduced Meals % (District),Ethnic Diversity Index (District),Cohort Graduates % (District),Grads Mtg UC/CSU % (District),Grads Mtg UC/CSU # (District),ACT Test Takers # (District),Per Pupil Ratio: Teacher (District),Avg Years Teaching (District),Teacher Salary-Avg (District),Chronic Absenteeism % (District),CAASPP-ELA Standard Exceeded or Met (Levels 3 and 4) (District),CAASPP-Math Standard Exceeded or Met (Levels 3 and 4) (District),Current Exp of Educ per ADA (Ed Code 41372) (District),Gen Fund Exp by Object Code - 4000-4999 Books & Supplies Per Student (District),Total Gen Fund Revenues Per Student (District),Gen Fund Exp by Activity - 4000-4999 Ancillary Services Per Student # (District),Gen Fund Exp by Activity - 1000-1999 Instruction Per Student # (District),Gen Fund Exp by Activity - 5000-5999 Community Services Per Student # (District),Gen Fund Exp by Activity - 7000-7999 General Administration Per Student # (District),Gen Fund Exp by Activity - 3000-3999 Pupil Services Per Student # (District)
Arcadia Unified (Los Angeles),Los Angeles,Unified School District,9719,11.2,16.6,37,98.32,74.5,710,0,23.6,13,78484,N/A,N/A,N/A,7152,229,7678,57,4876,1,509,492
San Marino Unified (Los Angeles),Los Angeles,Unified School District,3113,4.6,3.1,44,99.24,73.4,193,0,22.3,12,69977,N/A,N/A,N/A,9295,593,11239,158,5774,62,996,602
Santa Monica-Malibu Unified (Los Angeles),Los Angeles,Unified School District,11468,9,27.4,48,91.44,71.8,648,0,21.8,12,72360,N/A,N/A,N/A,10627,303,10570,72,6738,110,630,947
Pleasanton Unified (Alameda),Alameda,Unified School District,14899,5.6,6.4,46,95.67,71.3,860,0,23.1,12,84861,N/A,N/A,N/A,7852,234,8480,0,5683,0,514,372
Carmel Unified (Monterey),Monterey,Unified School District,2377,5.9,15.4,32,94.42,69.3,131,0,16.1,10,88998,N/A,N/A,N/A,17040,975,18219,0,10192,5,1361,1510
Davis Joint Unified (Yolo),Yolo,Unified School District,8596,8.8,21.7,46,94.85,69,475,0,20.5,11,65637,N/A,N/A,N/A,8931,392,9067,142,5873,21,555,670
Laguna Beach Unified (Orange),Orange,Unified School District,3034,3.7,9.5,20,97.58,69,167,0,21.2,10,93450,N/A,N/A,N/A,13945,565,14568,378,8466,0,1445,1420
South Pasadena Unified (Los Angeles),Los Angeles,Unified School District,4588,7.5,15.8,57,95.74,68,240,0,25.2,13,74274,N/A,N/A,N/A,7553,258,7983,88,4972,5,542,441
Claremont Unified (Los Angeles),Los Angeles,Unified School District,6936,5,29.5,54,96.71,66,367,0,23.9,13,68873,N/A,N/A,N/A,7588,250,8653,100,4819,0,602,694
Scotts Valley Unified (Santa Cruz),Santa Cruz,Unified School District,2506,2.1,13.9,28,96.67,65.5,112,0,22.9,11,57051,N/A,N/A,N/A,7167,274,7546,90,4710,1,518,459
Poway Unified (San Diego),San Diego,Unified School District,34569,12.1,13.5,49,95.69,64,1644,0,28.3,13,69183,N/A,N/A,N/A,7153,263,7526,128,4781,11,387,570
Las Virgenes Unified (Los Angeles),Los Angeles,Unified School District,11319,5.8,6.3,23,95.11,63.9,618,0,23.5,12,67872,N/A,N/A,N/A,7932,215,8052,7,5441,0,357,629
San Ramon Valley Unified (Contra Costa),Contra Costa,Unified School District,29883,4.6,3.4,48,97.02,63.8,1399,0,23.7,10,N/A,N/A,N/A,N/A,7723,366,7919,89,5156,10,341,524
Rocklin Unified (Placer),Placer,Unified School District,11903,4.2,17.4,34,92.7,63,537,0,24.1,10,64627,N/A,N/A,N/A,6783,250,7191,69,4409,7,371,452
Temple City Unified (Los Angeles),Los Angeles,Unified School District,5705,20,36.5,39,94.85,62.9,317,0,24.5,13,72005,N/A,N/A,N/A,7200,239,7395,8,4773,0,514,505
Fremont Unified (Alameda),Alameda,Unified School District,32829,17.6,18.8,49,90.16,62.2,1395,0,23,13,77246,N/A,N/A,N/A,7807,316,7935,37,5386,15,355,407
Oak Park Unified (Ventura),Ventura,Unified School District,4202,2.2,4.6,26,95.9,61.4,212,0,23.7,12,71860,N/A,N/A,N/A,7630,208,7414,58,5285,5,535,603
Los Alamitos Unified (Orange),Orange,Unified School District,9714,1.6,12,46,95.07,59.8,491,0,27.2,13,80016,N/A,N/A,N/A,6978,273,7669,38,4940,0,429,417
Carlsbad Unified (San Diego),San Diego,Unified School District,11063,7.9,19.2,42,92.56,59,415,0,25.1,2,71521,N/A,N/A,N/A,7433,194,7016,61,4768,17,444,727
