Calculation1,City,County/State/ Territory,Count,Gender,School,Pivot Field Values
ALISAL HIGH SCHOOL52742,Salinas,Monterey,Enr,Male,ALISAL HIGH SCHOOL,21
ALISAL HIGH SCHOOL52742,Salinas,Monterey,Adm,Male,ALISAL HIGH SCHOOL,53
ALISAL HIGH SCHOOL52742,Salinas,Monterey,App,Male,ALISAL HIGH SCHOOL,79
ALISAL HIGH SCHOOL52742,Salinas,Monterey,Enr,Female,ALISAL HIGH SCHOOL,21
ALISAL HIGH SCHOOL52742,Salinas,Monterey,Adm,Female,ALISAL HIGH SCHOOL,47
ALISAL HIGH SCHOOL52742,Salinas,Monterey,App,Female,ALISAL HIGH SCHOOL,82
ALISAL HIGH SCHOOL52742,Salinas,Monterey,Enr,All,ALISAL HIGH SCHOOL,42
ALISAL HIGH SCHOOL52742,Salinas,Monterey,Adm,All,ALISAL HIGH SCHOOL,101
ALISAL HIGH SCHOOL52742,Salinas,Monterey,App,All,ALISAL HIGH SCHOOL,163
ALISO NIGUEL HIGH SCHOOL51324,Aliso Viejo,Orange,Enr,Male,ALISO NIGUEL HIGH SCHOOL,56
ALISO NIGUEL HIGH SCHOOL51324,Aliso Viejo,Orange,Adm,Male,ALISO NIGUEL HIGH SCHOOL,89
ALISO NIGUEL HIGH SCHOOL51324,Aliso Viejo,Orange,App,Male,ALISO NIGUEL HIGH SCHOOL,135
ALISO NIGUEL HIGH SCHOOL51324,Aliso Viejo,Orange,Enr,Female,ALISO NIGUEL HIGH SCHOOL,47
ALISO NIGUEL HIGH SCHOOL51324,Aliso Viejo,Orange,Adm,Female,ALISO NIGUEL HIGH SCHOOL,82
ALISO NIGUEL HIGH SCHOOL51324,Aliso Viejo,Orange,App,Female,ALISO NIGUEL HIGH SCHOOL,121
ALISO NIGUEL HIGH SCHOOL51324,Aliso Viejo,Orange,Enr,All,ALISO NIGUEL HIGH SCHOOL,103
ALISO NIGUEL HIGH SCHOOL51324,Aliso Viejo,Orange,Adm,All,ALISO NIGUEL HIGH SCHOOL,171
ALISO NIGUEL HIGH SCHOOL51324,Aliso Viejo,Orange,App,All,ALISO NIGUEL HIGH SCHOOL,256
ALLIANCE COLLINS FAMILY COLRDY54118,Huntington Park,Los Angeles,Enr,Male,ALLIANCE COLLINS FAMILY COLRDY,8
ALLIANCE COLLINS FAMILY COLRDY54118,Huntington Park,Los Angeles,Adm,Male,ALLIANCE COLLINS FAMILY COLRDY,14
ALLIANCE COLLINS FAMILY COLRDY54118,Huntington Park,Los Angeles,App,Male,ALLIANCE COLLINS FAMILY COLRDY,20
ALLIANCE COLLINS FAMILY COLRDY54118,Huntington Park,Los Angeles,Enr,Female,ALLIANCE COLLINS FAMILY COLRDY,18
ALLIANCE COLLINS FAMILY COLRDY54118,Huntington Park,Los Angeles,Adm,Female,ALLIANCE COLLINS FAMILY COLRDY,32
ALLIANCE COLLINS FAMILY COLRDY54118,Huntington Park,Los Angeles,App,Female,ALLIANCE COLLINS FAMILY COLRDY,48
ALLIANCE COLLINS FAMILY COLRDY54118,Huntington Park,Los Angeles,Enr,All,ALLIANCE COLLINS FAMILY COLRDY,26
