School Name,District Name (School),School Type (School),County Name (School)
School for the Visual Arts and Humanities (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
School of Business and Tourism at Contreras Learning Complex (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
School of Extended Educational Options (Pomona Unified),Pomona Unified,High School,Los Angeles
School of History and Dramatic Arts at Sonia Sotomayor Learning Academies (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
School of Universal Learning (SOUL) (San Diego County Office of Education),San Diego County Office of Education,High School,San Diego
School of Unlimited Learning (Fresno Unified),Fresno Unified,High School,Fresno
Schurr High (Montebello Unified),Montebello Unified,High School,Los Angeles
"Science, Technology, Engineering, Arts and Mathematics at Legacy High School Com (Los Angeles Unified)",Los Angeles Unified,High School,Los Angeles
Scotts Valley High (Scotts Valley Unified),Scotts Valley Unified,High School,Santa Cruz
Scripps Ranch High (San Diego Unified),San Diego Unified,High School,San Diego
Seaside High (Monterey Peninsula Unified),Monterey Peninsula Unified,High School,Monterey
Segerstrom High (Santa Ana Unified),Santa Ana Unified,High School,Orange
Selma High (Selma Unified),Selma Unified,High School,Fresno
Sequoia High (Sequoia Union High),Sequoia Union High,High School,San Mateo
Sequoia School (William S. Hart Union High),William S. Hart Union High,High School,Los Angeles
Serra High (San Diego Unified),San Diego Unified,High School,San Diego
Serrano High (Snowline Joint Unified),Snowline Joint Unified,High School,San Bernardino
Shadow Hills High (Desert Sands Unified),Desert Sands Unified,High School,Riverside
Shafter High (Kern High),Kern High,High School,Kern
Shandon High (Shandon Joint Unified),Shandon Joint Unified,High School,San Luis Obispo
Shasta Charter Academy (Shasta Union High),Shasta Union High,High School,Shasta
Shasta County Independent Study (Shasta County Office of Education),Shasta County Office of Education,High School,Shasta
Shasta High (Shasta Union High),Shasta Union High,High School,Shasta
Sheldon High (Elk Grove Unified),Elk Grove Unified,High School,Sacramento
Sherman Thomas Charter High (Madera Unified),Madera Unified,High School,Madera
SIATech (Vista Unified),Vista Unified,High School,San Diego
SIATech Academy South (Acton-Agua Dulce Unified),Acton-Agua Dulce Unified,High School,Los Angeles
Sierra Academy of Expeditionary Learning (Nevada Joint Union High),Nevada Joint Union High,High School,Nevada
Sierra High (Sierra Unified),Sierra Unified,High School,Fresno
Sierra High (Manteca Unified),Manteca Unified,High School,San Joaquin
Sierra Pacific High (Hanford Joint Union High),Hanford Joint Union High,High School,Kings
Sierra Vista Charter High (Tulare Joint Union High),Tulare Joint Union High,High School,Tulare
Sierra Vista High (Baldwin Park Unified),Baldwin Park Unified,High School,Los Angeles
Silver Creek High (East Side Union High),East Side Union High,High School,Santa Clara
Silver Oak High Public Montessori Charter (Hayward Unified),Hayward Unified,High School,Alameda
Silver Valley High (Silver Valley Unified),Silver Valley Unified,High School,San Bernardino
Silverado High (Victor Valley Union High),Victor Valley Union High,High School,San Bernardino
Simi Valley High (Simi Valley Unified),Simi Valley Unified,High School,Ventura
Sir Francis Drake High (Tamalpais Union High),Tamalpais Union High,High School,Marin
Six Rivers Charter High (Northern Humboldt Union High),Northern Humboldt Union High,High School,Humboldt
Skyline High (Oakland Unified),Oakland Unified,High School,Alameda
Social Justice Leadership Academy at Esteban E. Torres High No. 5 (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Soledad High (Soledad Unified),Soledad Unified,High School,Monterey
Sonoma Valley High (Sonoma Valley Unified),Sonoma Valley Unified,High School,Sonoma
Sonora High (Sonora Union High),Sonora Union High,High School,Tuolumne
Sonora High (Fullerton Joint Union High),Fullerton Joint Union High,High School,Orange
Soquel High (Santa Cruz City High),Santa Cruz City High,High School,Santa Cruz
South East High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
South El Monte High (El Monte Union High),El Monte Union High,High School,Los Angeles
South Fork High (Summerville Union High),Summerville Union High,High School,Tuolumne
South Fork Junior - Senior High (Southern Humboldt Joint Unified),Southern Humboldt Joint Unified,High School,Humboldt
South Gate Senior High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
South High (Kern High),Kern High,High School,Kern
South High (Torrance Unified),Torrance Unified,High School,Los Angeles
South Hills High (Covina-Valley Unified),Covina-Valley Unified,High School,Los Angeles
South Pasadena Senior High (South Pasadena Unified),South Pasadena Unified,High School,Los Angeles
South San Francisco High (South San Francisco Unified),South San Francisco Unified,High School,San Mateo
South Tahoe High (Lake Tahoe Unified),Lake Tahoe Unified,High School,El Dorado
Southern Trinity High (Southern Trinity Joint Unified),Southern Trinity Joint Unified,High School,Trinity
Southwest High (Central Union High),Central Union High,High School,Imperial
Southwest Senior High (Sweetwater Union High),Sweetwater Union High,High School,San Diego
Squaw Valley Preparatory (Newcastle Elementary),Newcastle Elementary,High School,Placer
Stagg Senior High (Stockton Unified),Stockton Unified,High School,San Joaquin
Steele Canyon High (Grossmont Union High),Grossmont Union High,High School,San Diego
Stellar Secondary Charter High (Redding Elementary),Redding Elementary,High School,Shasta
STEM Academy at Bernstein High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Stockdale High (Kern High),Kern High,High School,Kern
Stockton Early College Academy (Stockton Unified),Stockton Unified,High School,San Joaquin
Stockton High (Stockton Unified),Stockton Unified,High School,San Joaquin
Strathmore High (Porterville Unified),Porterville Unified,High School,Tulare
Success One! (Glenn County Office of Education),Glenn County Office of Education,High School,Glenn
Sultana High (Hesperia Unified),Hesperia Unified,High School,San Bernardino
Summerville High (Summerville Union High),Summerville Union High,High School,Tuolumne
Summit High (Fontana Unified),Fontana Unified,High School,San Bernardino
Summit Leadership Academy-High Desert (Hesperia Unified),Hesperia Unified,High School,San Bernardino
Summit Preparatory Charter High (Sequoia Union High),Sequoia Union High,High School,San Mateo
Summit Public School K2 (Contra Costa County Office of Education),Contra Costa County Office of Education,High School,Contra Costa
Summit Public School: Rainier (East Side Union High),East Side Union High,High School,Santa Clara
Summit Public School: Shasta (Jefferson Union High),Jefferson Union High,High School,San Mateo
Summit Public School: Tahoma (Santa Clara County Office of Education),Santa Clara County Office of Education,High School,Santa Clara
Summit Public School: Tamalpais (West Contra Costa Unified),West Contra Costa Unified,High School,Contra Costa
Sun Valley High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Sunny Hills High (Fullerton Joint Union High),Fullerton Joint Union High,High School,Orange
Sunnyside High (Fresno Unified),Fresno Unified,High School,Fresno
Surprise Valley High (Surprise Valley Joint Unified),Surprise Valley Joint Unified,High School,Modoc
Susan Miller Dorsey Senior High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Sutter High (Sutter Union High),Sutter Union High,High School,Sutter
Sweetwater High (Sweetwater Union High),Sweetwater Union High,High School,San Diego
Sweetwater Secondary (SBE - Sweetwater Secondary),SBE - Sweetwater Secondary,High School,San Diego
Sylmar Biotech Health and Engineering Magnet (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Sylmar Charter High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Synergy Quantum Academy (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Taft Charter High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Taft Union High (Taft Union High),Taft Union High,High School,Kern
Tahoe Truckee High (Tahoe-Truckee Unified),Tahoe-Truckee Unified,High School,Placer
Tahquitz High (Hemet Unified),Hemet Unified,High School,Riverside
Tamalpais High (Tamalpais Union High),Tamalpais Union High,High School,Marin
TEACH Tech Charter High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Tehachapi High (Tehachapi Unified),Tehachapi Unified,High School,Kern
Temecula Valley High (Temecula Valley Unified),Temecula Valley Unified,High School,Riverside
Temescal Canyon High (Lake Elsinore Unified),Lake Elsinore Unified,High School,Riverside
Temple City High (Temple City Unified),Temple City Unified,High School,Los Angeles
Templeton High (Templeton Unified),Templeton Unified,High School,San Luis Obispo
Tennyson High (Hayward Unified),Hayward Unified,High School,Alameda
Terra Linda High (San Rafael City High),San Rafael City High,High School,Marin
Terra Nova High (Jefferson Union High),Jefferson Union High,High School,San Mateo
Tesoro High (Capistrano Unified),Capistrano Unified,High School,Orange
The Education Corps (Inyo County Office of Education),Inyo County Office of Education,High School,Inyo
The High School at Moorpark College (Moorpark Unified),Moorpark Unified,High School,Ventura
The MET (Sacramento City Unified),Sacramento City Unified,High School,Sacramento
Theodore Roosevelt Senior High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Thomas Downey High (Modesto City High),Modesto City High,High School,Stanislaus
Thomas Jefferson Senior High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Thousand Oaks High (Conejo Valley Unified),Conejo Valley Unified,High School,Ventura
Tioga High (Big Oak Flat-Groveland Unified),Big Oak Flat-Groveland Unified,High School,Tuolumne
Tokay High (Lodi Unified),Lodi Unified,High School,San Joaquin
Tomales High (Shoreline Unified),Shoreline Unified,High School,Marin
Torrance High (Torrance Unified),Torrance Unified,High School,Los Angeles
Torrey Pines High (San Dieguito Union High),San Dieguito Union High,High School,San Diego
Trabuco Hills High (Saddleback Valley Unified),Saddleback Valley Unified,High School,Orange
Tracy High (Tracy Joint Unified),Tracy Joint Unified,High School,San Joaquin
Tranquillity High (Golden Plains Unified),Golden Plains Unified,High School,Fresno
Trinity High (Trinity Alps Unified),Trinity Alps Unified,High School,Trinity
Trona High (Trona Joint Unified),Trona Joint Unified,High School,San Bernardino
Troy High (Fullerton Joint Union High),Fullerton Joint Union High,High School,Orange
Tulare Union High (Tulare Joint Union High),Tulare Joint Union High,High School,Tulare
Tulare Western High (Tulare Joint Union High),Tulare Joint Union High,High School,Tulare
Tulelake High (Tulelake Basin Joint Unified),Tulelake Basin Joint Unified,High School,Modoc
Turlock High (Turlock Unified),Turlock Unified,High School,Stanislaus
Tustin High (Tustin Unified),Tustin Unified,High School,Orange
Twentynine Palms High (Morongo Unified),Morongo Unified,High School,San Bernardino
Ukiah High (Ukiah Unified),Ukiah Unified,High School,Mendocino
Ulysses S. Grant Senior High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Union Mine High (El Dorado Union High),El Dorado Union High,High School,El Dorado
Unity Middle College High (Orange County Department of Education),Orange County Department of Education,High School,Orange
University City High (San Diego Unified),San Diego Unified,High School,San Diego
University High (Irvine Unified),Irvine Unified,High School,Orange
University High (Fresno Unified),Fresno Unified,High School,Fresno
University High School Charter (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
University Pathways Medical Magnet Academy (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
University Pathways Public Service Academy (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
University Preparatory (Victor Valley Union High),Victor Valley Union High,High School,San Bernardino
University Preparatory Academy Charter (Santa Clara County Office of Education),Santa Clara County Office of Education,High School,Santa Clara
University Preparatory High (Tulare County Office of Education),Tulare County Office of Education,High School,Tulare
University Preparatory Value High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Upland High (Upland Unified),Upland Unified,High School,San Bernardino
Uplift California North Charter (Bradley Union Elementary),Bradley Union Elementary,High School,Monterey
Uplift California South Charter (Bradley Union Elementary),Bradley Union Elementary,High School,Monterey
Upper Lake High (Upper Lake Unified),Upper Lake Unified,High School,Lake
Urban Corps of San Diego County Charter (Mono County Office of Education),Mono County Office of Education,High School,Mono
Vacaville High (Vacaville Unified),Vacaville Unified,High School,Solano
Valencia High (Placentia-Yorba Linda Unified),Placentia-Yorba Linda Unified,High School,Orange
Valencia High (William S. Hart Union High),William S. Hart Union High,High School,Los Angeles
Valhalla High (Grossmont Union High),Grossmont Union High,High School,San Diego
Vallejo High (Vallejo City Unified),Vallejo City Unified,High School,Solano
Valley Academy of Arts and Sciences (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Valley Center High (Valley Center-Pauma Unified),Valley Center-Pauma Unified,High School,San Diego
Valley Charter High (Stanislaus County Office of Education),Stanislaus County Office of Education,High School,Stanislaus
Valley High (Santa Ana Unified),Santa Ana Unified,High School,Orange
Valley High (Elk Grove Unified),Elk Grove Unified,High School,Sacramento
Valley International Preparatory High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Valley View High (Moreno Valley Unified),Moreno Valley Unified,High School,Riverside
Valor Academy High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Van Nuys Senior High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Vanden High (Travis Unified),Travis Unified,High School,Solano
Vasquez High (Acton-Agua Dulce Unified),Acton-Agua Dulce Unified,High School,Los Angeles
Venice Senior High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Ventura High (Ventura Unified),Ventura Unified,High School,Ventura
Verdugo Hills Senior High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Victor Valley High (Victor Valley Union High),Victor Valley Union High,High School,San Bernardino
Villa Park High (Orange Unified),Orange Unified,High School,Orange
Vintage High (Napa Valley Unified),Napa Valley Unified,High School,Napa
Visalia Charter Independent Study (Visalia Unified),Visalia Unified,High School,Tulare
Visalia Technical Early College (Visalia Unified),Visalia Unified,High School,Tulare
Vista del Lago High (Moreno Valley Unified),Moreno Valley Unified,High School,Riverside
Vista del Lago High (Folsom-Cordova Unified),Folsom-Cordova Unified,High School,Sacramento
Vista High (Vista Unified),Vista Unified,High School,San Diego
Vista Murrieta High (Murrieta Valley Unified),Murrieta Valley Unified,High School,Riverside
Vista Real Charter High (Ventura County Office of Education),Ventura County Office of Education,High School,Ventura
Visual and Performing Arts at Legacy High School Complex (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Wallenberg (Raoul) Traditional High (San Francisco Unified),San Francisco Unified,High School,San Francisco
Wallis Annenberg High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Walnut High (Walnut Valley Unified),Walnut Valley Unified,High School,Los Angeles
Warner Junior/Senior High (Warner Unified),Warner Unified,High School,San Diego
Warren (Earl) High (Downey Unified),Downey Unified,High School,Los Angeles
Wasco High (Wasco Union High),Wasco Union High,High School,Kern
Washington (George) High (San Francisco Unified),San Francisco Unified,High School,San Francisco
Washington High (Fremont Unified),Fremont Unified,High School,Alameda
Washington High (Washington Unified),Washington Unified,High School,Fresno
Washington Middle College High (Washington Unified),Washington Unified,High School,Yolo
Waterford High (Waterford Unified),Waterford Unified,High School,Stanislaus
Watsonville High (Pajaro Valley Unified),Pajaro Valley Unified,High School,Santa Cruz
Weed High (Siskiyou Union High),Siskiyou Union High,High School,Siskiyou
WESM Health/Sports Medicine (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
West Adams Preparatory High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
West Campus (Sacramento City Unified),Sacramento City Unified,High School,Sacramento
West Covina High (West Covina Unified),West Covina Unified,High School,Los Angeles
West High (Kern High),Kern High,High School,Kern
West High (Torrance Unified),Torrance Unified,High School,Los Angeles
West Hills High (Grossmont Union High),Grossmont Union High,High School,San Diego
West Ranch High (William S. Hart Union High),William S. Hart Union High,High School,Los Angeles
West Shores High (Coachella Valley Unified),Coachella Valley Unified,High School,Riverside
West Valley High (Hemet Unified),Hemet Unified,High School,Riverside
West Valley High (Anderson Union High),Anderson Union High,High School,Shasta
Western High (Anaheim Union High),Anaheim Union High,High School,Orange
Westlake High (Conejo Valley Unified),Conejo Valley Unified,High School,Ventura
Westminster High (Huntington Beach Union High),Huntington Beach Union High,High School,Orange
Westmont High (Campbell Union High),Campbell Union High,High School,Santa Clara
Westmoor High (Jefferson Union High),Jefferson Union High,High School,San Mateo
Weston Ranch High (Manteca Unified),Manteca Unified,High School,San Joaquin
Westview High (Poway Unified),Poway Unified,High School,San Diego
Westwood High (Westwood Unified),Westwood Unified,High School,Lassen
Whale Gulch High (Leggett Valley Unified),Leggett Valley Unified,High School,Mendocino
Wheatland Union High (Wheatland Union High),Wheatland Union High,High School,Yuba
Whitmore Charter High (Ceres Unified),Ceres Unified,High School,Stanislaus
Whitney (Gretchen) High (ABC Unified),ABC Unified,High School,Los Angeles
Whitney High (Rocklin Unified),Rocklin Unified,High School,Placer
Whittier High (Whittier Union High),Whittier Union High,High School,Los Angeles
Will C. Wood High (Vacaville Unified),Vacaville Unified,High School,Solano
William C. Overfelt High (East Side Union High),East Side Union High,High School,Santa Clara
William J. (Pete) Knight High (Antelope Valley Union High),Antelope Valley Union High,High School,Los Angeles
William S. Hart High (William S. Hart Union High),William S. Hart Union High,High School,Los Angeles
William Workman High (Hacienda la Puente Unified),Hacienda la Puente Unified,High School,Los Angeles
Williams Junior/Senior High (Williams Unified),Williams Unified,High School,Colusa
Willits High (Willits Unified),Willits Unified,High School,Mendocino
Willow Glen High (San Jose Unified),San Jose Unified,High School,Santa Clara
Willows High (Willows Unified),Willows Unified,High School,Glenn
Wilmer Amina Carter High (Rialto Unified),Rialto Unified,High School,San Bernardino
Wilson High (Long Beach Unified),Long Beach Unified,High School,Los Angeles
Windsor High (Windsor Unified),Windsor Unified,High School,Sonoma
Winters High (Winters Joint Unified),Winters Joint Unified,High School,Yolo
WISH Academy High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Woodbridge High (Irvine Unified),Irvine Unified,High School,Orange
Woodcreek High (Roseville Joint Union High),Roseville Joint Union High,High School,Placer
Woodlake High (Woodlake Unified),Woodlake Unified,High School,Tulare
Woodland Senior High (Woodland Joint Unified),Woodland Joint Unified,High School,Yolo
Woodrow Wilson Senior High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Woodside High (Sequoia Union High),Sequoia Union High,High School,San Mateo
Yerba Buena High (East Side Union High),East Side Union High,High School,Santa Clara
Ygnacio Valley High (Mt. Diablo Unified),Mt. Diablo Unified,High School,Contra Costa
Yorba Linda High (Placentia-Yorba Linda Unified),Placentia-Yorba Linda Unified,High School,Orange
Yosemite High (Yosemite Unified),Yosemite Unified,High School,Madera
Yosemite Park High (Mariposa County Unified),Mariposa County Unified,High School,Mariposa
YouthBuild Charter School of California (Inyo County Office of Education),Inyo County Office of Education,High School,Inyo
Yreka High (Yreka Union High),Yreka Union High,High School,Siskiyou
Yuba City High (Yuba City Unified),Yuba City Unified,High School,Sutter
Yucaipa High (Yucaipa-Calimesa Joint Unified),Yucaipa-Calimesa Joint Unified,High School,San Bernardino
Yucca Valley High (Morongo Unified),Morongo Unified,High School,San Bernardino
,,,
