School Name,District Name (School),School Type (School),County Name (School)
Coalinga High (Coalinga-Huron Unified),Coalinga-Huron Unified,High School,Fresno
Coast Union High (Coast Unified),Coast Unified,High School,San Luis Obispo
Cobalt Institute of Math and Science Academy (Victor Valley Union High),Victor Valley Union High,High School,San Bernardino
Cold Springs High (Summerville Union High),Summerville Union High,High School,Tuolumne
Coleville High (Eastern Sierra Unified),Eastern Sierra Unified,High School,Mono
Colfax High (Placer Union High),Placer Union High,High School,Placer
College and Career Preparatory Academy (Orange County Department of Education),Orange County Department of Education,High School,Orange
College Bridge Academy (Inyo County Office of Education),Inyo County Office of Education,High School,Inyo
College Park High (Mt. Diablo Unified),Mt. Diablo Unified,High School,Contra Costa
College Prep High (Hemet Unified),Hemet Unified,High School,Riverside
Collegiate Charter High School of Los Angeles (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Colony High (Chaffey Joint Union High),Chaffey Joint Union High,High School,San Bernardino
Colton High (Colton Joint Unified),Colton Joint Unified,High School,San Bernardino
Colusa High (Colusa Unified),Colusa Unified,High School,Colusa
Come Back Butte Charter (Butte County Office of Education),Butte County Office of Education,High School,Butte
Come Back Charter (Merced County Office of Education),Merced County Office of Education,High School,Merced
Communication and Technology at Diego Rivera Learning Complex (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Compton Early College High (Compton Unified),Compton Unified,High School,Los Angeles
Compton High (Compton Unified),Compton Unified,High School,Los Angeles
Concord High (Mt. Diablo Unified),Mt. Diablo Unified,High School,Contra Costa
Connections Visual and Performing Arts Academy (Summerville Union High),Summerville Union High,High School,Tuolumne
Conservation Corps of Long Beach Gateway Cities Charter (Glenn County Office of Education),Glenn County Office of Education,High School,Glenn
Conservatory of Vocal/Instrumental Arts High (Oakland Unified),Oakland Unified,High School,Alameda
Contreras Learning Center-Academic Leadership Community (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Contreras Learning Center-Los Angeles School of Global Studies (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Contreras Learning Center-School of Social Justice (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Corcoran High (Corcoran Joint Unified),Corcoran Joint Unified,High School,Kings
Cordova High (Folsom-Cordova Unified),Folsom-Cordova Unified,High School,Sacramento
Corning High (Corning Union High),Corning Union High,High School,Tehama
Corning Independent Study (Corning Union High),Corning Union High,High School,Tehama
Corona del Mar High (Newport-Mesa Unified),Newport-Mesa Unified,High School,Orange
Corona High (Corona-Norco Unified),Corona-Norco Unified,High School,Riverside
Coronado High (Coronado Unified),Coronado Unified,High School,San Diego
Costa Mesa High (Newport-Mesa Unified),Newport-Mesa Unified,High School,Orange
Cosumnes Oaks High (Elk Grove Unified),Elk Grove Unified,High School,Sacramento
Coulterville High (Mariposa County Unified),Mariposa County Unified,High School,Mariposa
Covina High (Covina-Valley Unified),Covina-Valley Unified,High School,Los Angeles
Crawford High (San Diego Unified),San Diego Unified,High School,San Diego
Credo High (Cotati-Rohnert Park Unified),Cotati-Rohnert Park Unified,High School,Sonoma
"Crenshaw Science, Technology, Engineering, Math and Medicine Magnet (Los Angeles Unified)",Los Angeles Unified,High School,Los Angeles
Crescenta Valley High (Glendale Unified),Glendale Unified,High School,Los Angeles
Culver City High (Culver City Unified),Culver City Unified,High School,Los Angeles
Cupertino High (Fremont Union High),Fremont Union High,High School,Santa Clara
Cuyama Valley High (Cuyama Joint Unified),Cuyama Joint Unified,High School,Santa Barbara
Cypress Charter High (Live Oak Elementary),Live Oak Elementary,High School,Santa Cruz
Cypress High (Anaheim Union High),Anaheim Union High,High School,Orange
Da Vinci Charter Academy (Davis Joint Unified),Davis Joint Unified,High School,Yolo
Da Vinci Communications (Wiseburn Unified),Wiseburn Unified,High School,Los Angeles
Da Vinci Design (Wiseburn Unified),Wiseburn Unified,High School,Los Angeles
Da Vinci RISE High (Los Angeles County Office of Education),Los Angeles County Office of Education,High School,Los Angeles
Da Vinci Science (Wiseburn Unified),Wiseburn Unified,High School,Los Angeles
Dana Hills High (Capistrano Unified),Capistrano Unified,High School,Orange
Daniel Pearl Journalism & Communications Magnet (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
David Starr Jordan Senior High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Davis Senior High (Davis Joint Unified),Davis Joint Unified,High School,Yolo
De Anza High (West Contra Costa Unified),West Contra Costa Unified,High School,Contra Costa
Death Valley High Academy (Death Valley Unified),Death Valley Unified,High School,Inyo
Deer Valley High (Antioch Unified),Antioch Unified,High School,Contra Costa
Del Campo High (San Juan Unified),San Juan Unified,High School,Sacramento
Del Lago Academy - Campus of Applied Science (Escondido Union High),Escondido Union High,High School,San Diego
Del Mar High (Campbell Union High),Campbell Union High,High School,Santa Clara
Del Norte High (Poway Unified),Poway Unified,High School,San Diego
Del Norte High (Del Norte County Unified),Del Norte County Unified,High School,Del Norte
Del Oro High (Placer Union High),Placer Union High,High School,Placer
Delano High (Delano Joint Union High),Delano Joint Union High,High School,Kern
Delhi High (Delhi Unified),Delhi Unified,High School,Merced
Delta Charter (Santa Cruz City High),Santa Cruz City High,High School,Santa Cruz
Delta High (River Delta Joint Unified),River Delta Joint Unified,High School,Sacramento
Denair High (Denair Unified),Denair Unified,High School,Stanislaus
Desert Hot Springs High (Palm Springs Unified),Palm Springs Unified,High School,Riverside
Desert Junior-Senior High (Muroc Joint Unified),Muroc Joint Unified,High School,Kern
Desert Mirage High (Coachella Valley Unified),Coachella Valley Unified,High School,Riverside
Desert Sands Charter (Antelope Valley Union High),Antelope Valley Union High,High School,Los Angeles
Design Tech High (San Mateo Union High),San Mateo Union High,High School,San Mateo
Diamond Bar High (Walnut Valley Unified),Walnut Valley Unified,High School,Los Angeles
Diamond Ranch High (Pomona Unified),Pomona Unified,High School,Los Angeles
Diamond Technology Institute (Pajaro Valley Unified),Pajaro Valley Unified,High School,Santa Cruz
Diego Rivera Learning Complex Green Design STEAM Academy (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Dinuba High (Dinuba Unified),Dinuba Unified,High School,Tulare
Discovery Charter Preparatory #2 (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Dixon High (Dixon Unified),Dixon Unified,High School,Solano
